trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.4, 'e': 0.23499999999999932}",20,0,26.419824714041074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.22999999999999932}",30,22,13.537914831740164,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4, 'e': 0.2249999999999993}",20,16,6.589970416973224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.2199999999999993}",25,9,22.958118547679195,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.2149999999999993}",20,0,-25.12294606023602,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.4, 'e': 0.2099999999999993}",25,0,1.8444330707803953,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.4, 'e': 0.2049999999999993}",20,8,-26.272161760348652,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.4, 'e': 0.1999999999999993}",25,0,-37.860814983052535,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
161,False,"{'a': 0.4, 'e': 0.19499999999999929}",25,0,-33.416324802719956,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
162,False,"{'a': 0.4, 'e': 0.18999999999999928}",25,16,16.60918487432224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.18499999999999928}",30,0,-53.031579576445125,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.4, 'e': 0.17999999999999927}",20,0,-32.63224253305183,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
165,False,"{'a': 0.4, 'e': 0.17499999999999927}",35,14,21.672789524756936,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.16999999999999926}",25,18,13.341507350922521,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.16499999999999926}",20,0,12.637761788932385,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.15999999999999925}",30,15,22.800633753774843,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.15499999999999925}",25,0,23.08256037385392,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.4, 'e': 0.14999999999999925}",20,0,-0.3483191680319516,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.4, 'e': 0.14499999999999924}",20,7,-0.44951194898825264,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.13999999999999924}",20,7,15.41607936452249,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.13499999999999923}",25,15,13.99361416273952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.12999999999999923}",20,4,-15.897650014482625,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.4, 'e': 0.12499999999999922}",25,12,22.923107775289548,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.11999999999999922}",25,0,40.00682952148399,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.4, 'e': 0.11499999999999921}",35,22,26.869854044668138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.10999999999999921}",25,16,13.425795375332418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.1049999999999992}",20,7,19.66387861720632,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4, 'e': 0.0999999999999992}",20,5,21.043731413481378,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.0949999999999992}",30,15,22.419420486750845,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.08999999999999919}",25,13,17.893071755819108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.08499999999999919}",30,19,1.8248502914465652,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
